idPaciente,nombre,apellido,cedula,fecha,sexo,estadoCivil,ocupacion,telefono
1,Viviana,Vera,099999999,13/03/1999,1,4,Ingeniera,0999999999
2,María,Pérez,0912345678,15/04/1990,1,2,Ingeniera,0987654321
3,Juan,Gómez,0923456789,22/08/1985,2,1,Doctor,0987654322
4,Ana,López,0934567890,30/01/1992,1,2,Abogada,0987654323
5,Carlos,Martínez,0945678901,10/12/1980,2,5,Profesor,0987654324
6,Lucía,Sánchez,0956789012,05/05/1995,1,3,Enfermera,0987654325
7,Pedro,Rodríguez,0967890123,18/11/1988,2,1,Contador,0987654326
8,Sofía,García,0978901234,25/07/1993,1,5,Arquitecta,0987654327
9,Luis,Ramírez,0989012345,02/09/1982,2,2,Ingeniero,0987654328
10,Elena,Fernández,0990123456,17/03/1991,1,1,Diseñadora,0987654329
11,Miguel,Torres,0911234567,29/06/1987,2,4,Médico,0987654330
12,Isabel,Morales,0922345678,14/10/1990,1,3,Psicóloga,0987654331
13,David,Ortiz,0933456789,21/04/1985,2,1,Abogado,0987654332
14,Laura,Jiménez,0944567890,11/08/1992,1,2,Periodista,0987654333
15,Andrés,Gutiérrez,0955678901,07/12/1980,2,5,Profesor,0987654334
16,Valeria,Herrera,0966789012,03/05/1995,1,3,Enfermera,0987654335
17,Gabriel,Flores,0977890123,20/11/1988,2,1,Contador,0987654336
18,Daniela,Rivera,0988901234,27/07/1993,1,4,Arquitecta,0987654337
19,Sebastián,Castro,0999012345,04/09/1982,2,2,Ingeniero,0987654338
20,Adriana,Reyes,0910123456,19/03/1991,1,5,Diseñadora,0987654339
21,Nicolás,Ríos,0921234567,06/06/1987,2,2,Médico,0987654340
